timestamp,pump_id,pump_station_id,flow_cms_avg,flow_cms_max,setting_avg,status,on_seconds_15min,is_startup,is_shutdown,startup_count_15min,startup_count_cumulative,runtime_min_cumulative
2017-06-29 01:45:00,G71F12Pp2,G71F12,0.0,0.0,0.0,OFF,0.0,False,False,0,0,0.0
2017-06-29 01:45:00,G71F320Pp1,G71F320,0.0,0.0,1.0,ON,900.0,False,False,0,1,119.0
2017-06-29 01:45:00,G71F68Yp1,G71F68Y,0.0,0.0,0.0,OFF,0.0,False,False,0,1,1.0
2017-06-29 01:45:00,G80F13Pp1,G80F13,0.0,0.0,0.0,OFF,0.0,False,False,0,0,0.0
2017-06-29 02:00:00,G70F11Pp1,G70F11,0.0,0.0,0.0,OFF,0.0,False,False,0,0,0.0
2017-06-29 02:00:00,G70F11Pp2,G70F11,0.0,0.0,0.0,OFF,0.0,False,False,0,0,0.0
2017-06-29 02:00:00,G71F12Pp1,G71F12,0.0,0.0,0.0,OFF,0.0,False,False,0,0,0.0
2017-06-29 02:00:00,G71F12Pp2,G71F12,0.0,0.0,0.0,OFF,0.0,False,False,0,0,0.0
2017-06-29 02:00:00,G71F320Pp1,G71F320,0.0,0.0,1.0,ON,900.0,False,False,0,1,134.0
2017-06-29 02:00:00,G71F68Yp1,G71F68Y,0.0,0.0,0.0,OFF,0.0,False,False,0,1,1.0
2017-06-29 02:00:00,G80F13Pp1,G80F13,0.0,0.0,0.0,OFF,0.0,False,False,0,0,0.0
2017-06-29 02:15:00,G70F11Pp1,G70F11,0.0,0.0,0.0,OFF,0.0,False,False,0,0,0.0
2017-06-29 02:15:00,G70F11Pp2,G70F11,0.0,0.0,0.0,OFF,0.0,False,False,0,0,0.0
2017-06-29 02:15:00,G71F12Pp1,G71F12,0.0,0.0,0.0,OFF,0.0,False,False,0,0,0.0
2017-06-29 02:15:00,G71F12Pp2,G71F12,0.0,0.0,0.0,OFF,0.0,False,False,0,0,0.0
2017-06-29 02:15:00,G71F320Pp1,G71F320,0.0,0.0,1.0,ON,900.0,False,False,0,1,149.0
2017-06-29 02:15:00,G71F68Yp1,G71F68Y,0.0,0.0,0.0,OFF,0.0,False,False,0,1,1.0
2017-06-29 02:15:00,G80F13Pp1,G80F13,0.0,0.0,0.0,OFF,0.0,False,False,0,0,0.0
2017-06-29 02:30:00,G70F11Pp1,G70F11,0.0,0.0,0.0,OFF,0.0,False,False,0,0,0.0
2017-06-29 02:30:00,G70F11Pp2,G70F11,0.0,0.0,0.0,OFF,0.0,False,False,0,0,0.0
2017-06-29 02:30:00,G71F12Pp1,G71F12,0.0,0.0,0.0,OFF,0.0,False,False,0,0,0.0
2017-06-29 02:30:00,G71F12Pp2,G71F12,0.0,0.0,0.0,OFF,0.0,False,False,0,0,0.0
2017-06-29 02:30:00,G71F320Pp1,G71F320,0.0,0.0,1.0,ON,900.0,False,False,0,1,164.0
2017-06-29 02:30:00,G71F68Yp1,G71F68Y,0.0,0.0,0.0,OFF,0.0,False,False,0,1,1.0
2017-06-29 02:30:00,G80F13Pp1,G80F13,0.0,0.0,0.0,OFF,0.0,False,False,0,0,0.0
2017-06-29 02:45:00,G70F11Pp1,G70F11,0.0,0.0,0.0,OFF,0.0,False,False,0,0,0.0
2017-06-29 02:45:00,G70F11Pp2,G70F11,0.0,0.0,0.0,OFF,0.0,False,False,0,0,0.0
2017-06-29 02:45:00,G71F12Pp1,G71F12,0.0,0.0,0.0,OFF,0.0,False,False,0,0,0.0
2017-06-29 02:45:00,G71F12Pp2,G71F12,0.0,0.0,0.0,OFF,0.0,False,False,0,0,0.0
2017-06-29 02:45:00,G71F320Pp1,G71F320,0.0,0.0,1.0,ON,900.0,False,False,0,1,179.0
2017-06-29 02:45:00,G71F68Yp1,G71F68Y,0.0,0.0,0.0,OFF,0.0,False,False,0,1,1.0
2017-06-29 02:45:00,G80F13Pp1,G80F13,0.0,0.0,0.0,OFF,0.0,False,False,0,0,0.0
2017-06-29 03:00:00,G70F11Pp1,G70F11,0.0,0.0,0.0,OFF,0.0,False,False,0,0,0.0
