timestamp,node_id,node_type,depth_m_avg,depth_m_max,head_m_avg,head_m_max,flooding_cms_instant,flooding_cms_max_15min,flooding_volume_m3_15min,total_inflow_cms_avg,total_inflow_cms_max,risk_level
2017-06-29 00:00:00,G70F100,junction,0.0,0.0,15.219,15.219,0.0,0.0,0.0,0.0,0.0,green
2017-06-29 00:00:00,G70F11P,junction,0.0,0.0,10.919,10.919,0.0,0.0,0.0,0.0,0.0,green
2017-06-29 00:00:00,G71F04R,storage,0.0,0.0,12.74,12.74,0.0,0.0,0.0,0.0,0.0,green
2017-06-29 00:00:00,G71F05R,storage,0.0,0.0,13.74,13.74,0.0,0.0,0.0,0.0,0.0,green
2017-06-29 00:00:00,G71F05R_skyl,storage,0.0,0.0,13.839999999999998,13.839999999999998,0.0,0.0,0.0,0.0,0.0,green
2017-06-29 00:00:00,G71F060,junction,0.0009068413432324604,0.003073983453052277,16.650906841343232,16.65307398345305,0.0,0.0,0.0,8.795966779568591e-06,3.256732362645903e-05,green
2017-06-29 00:00:00,G71F090,storage,0.00022634049279497576,0.0007076405826560469,17.019226340492793,17.019707640582652,0.0,0.0,0.0,3.2073806864468374e-06,6.8984483098080725e-06,green
2017-06-29 00:00:00,G71F12P,junction,0.003746207525114093,0.007476438716378187,10.822746207525114,10.82647643871638,0.0,0.0,0.0,2.3297131233224436e-05,3.0136149262454285e-05,green
2017-06-29 00:00:00,G71F320,storage,0.0,0.0,12.459999999999999,12.46,0.0,0.0,0.0,0.0,0.0,green
2017-06-29 00:00:00,G71F68Y,storage,0.0,0.0,10.839999999999998,10.839999999999998,0.0,0.0,0.0,0.0,0.0,green
2017-06-29 00:00:00,G71R050,storage,0.0,0.0,10.35,10.35,0.0,0.0,0.0,0.0,0.0,green
2017-06-29 00:00:00,G72R33B,storage,0.0,0.0,25.099999999999998,25.099999999999998,0.0,0.0,0.0,0.0,0.0,green
2017-06-29 00:00:00,G72R34R,storage,0.0,0.0,30.07,30.07,0.0,0.0,0.0,0.0,0.0,green
2017-06-29 00:00:00,G72R520,storage,0.0,0.0,30.080000000000002,30.08,0.0,0.0,0.0,0.0,0.0,green
2017-06-29 00:00:00,G72R70B,storage,0.0,0.0,23.919,23.918999999999997,0.0,0.0,0.0,0.0,0.0,green
2017-06-29 00:00:00,G72R83B,storage,0.0,0.0,28.7,28.7,0.0,0.0,0.0,0.0,0.0,green
2017-06-29 00:00:00,G72R84B,storage,0.0,0.0,28.18,28.18,0.0,0.0,0.0,0.0,0.0,green
2017-06-29 00:00:00,G80F11B,storage,0.0,0.0,34.86,34.86,0.0,0.0,0.0,0.0,0.0,green
2017-06-29 00:00:00,G80F13P,storage,0.10376174700885046,0.1826388977379645,33.122761747008845,33.20163889773796,0.0,0.0,0.0,0.000342138259815625,0.000342138259815625,green
2017-06-29 00:00:00,G80F240,junction,0.0,0.0,49.459,49.459,0.0,0.0,0.0,0.0,0.0,green
2017-06-29 00:00:00,G80F66Y,storage,0.0,0.0,34.169,34.169,0.0,0.0,0.0,0.0,0.0,green
2017-06-29 00:00:00,G_ADD,outfall,0.0,0.0,10.35,10.35,0.0,0.0,0.0,0.0,0.0,green
2017-06-29 00:15:00,G70F100,junction,0.0,0.0,15.219,15.219,0.0,0.0,0.0,0.0,0.0,green
2017-06-29 00:15:00,G70F11P,junction,0.0,0.0,10.919,10.919,0.0,0.0,0.0,0.0,0.0,green
2017-06-29 00:15:00,G71F04R,storage,0.0,0.0,12.74,12.74,0.0,0.0,0.0,0.0,0.0,green
2017-06-29 00:15:00,G71F05R,storage,0.0,0.0,13.74,13.74,0.0,0.0,0.0,0.0,0.0,green
