subcatchment_id,rain_gage_id,outlet_node,area,impervious_percent,width,slope,curb_length,snow_pack,polygon_points,subarea_params,infiltration_params,model_version,is_added
G72R332_8132,rg5425,G72R332,0.16899999999999998,42.660000000000004,78.714,0.03,0.0,,"[[""582850.693"", ""6133588.067""], [""582830.212"", ""6133563.653""], [""582788.612"", ""6133600.696""], [""582810.182"", ""6133622.124""], [""582850.693"", ""6133588.067""]]","[""G72R332_8132"", ""0.003427099357030207"", ""11.3"", ""0.03"", ""0.03"", ""25"", ""OUTLET""]","[""G72R332_8132"", ""10000"", ""10000"", ""7"", ""7"", ""0""]",original,0
G72R333_8133,rg5425,G72R333,0.153,33.2,262.652,0.03,0.0,,"[[""582864.836"", ""6133604.869""], [""582850.693"", ""6133588.067""], [""582810.182"", ""6133622.124""], [""582833.333"", ""6133649.669""], [""582864.836"", ""6133604.869""]]","[""G72R333_8133"", ""0.011435507029533474"", ""11.3"", ""0.03"", ""0.03"", ""25"", ""OUTLET""]","[""G72R333_8133"", ""10000"", ""10000"", ""7"", ""7"", ""0""]",original,0
G72R335_8134,rg5425,G72R335,0.174,31.68,40.294,0.03,0.0,,"[[""582769.103"", ""6133526.307""], [""582751.508"", ""6133505.964""], [""582705.431"", ""6133560.041""], [""582729.182"", ""6133572.507""], [""582769.103"", ""6133526.307""]]","[""G72R335_8134"", ""0.001754345370482699"", ""11.3"", ""0.03"", ""0.03"", ""25"", ""OUTLET""]","[""G72R335_8134"", ""10000"", ""10000"", ""7"", ""7"", ""0""]",original,0
G72R33B_8135,rg5425,G72R33B,0.914,1.47,95.614,0.03,0.0,,"[[""583325.411"", ""6133295.981""], [""583326.859"", ""6133281.260""], [""583326.859"", ""6133281.254""], [""583328.057"", ""6133266.475""], [""583330.932"", ""6133230.539""], [""583330.747"", ""6133230.469""], [""583303.333"", ""6133220.256""], [""583206.003"", ""6133209.963""], [""583208.491"", ""6133240.137""], [""583208.834"", ""6133250.272""], [""583222.310"", ""6133251.123""], [""583234.191"", ""6133275.236""], [""583235.596"", ""6133291.957""], [""583261.947"", ""6133309.807""], [""583283.920"", ""6133307.513""], [""583299.430"", ""6133301.917""], [""583305.421"", ""6133301.329""], [""583308.993"", ""6133302.412""], [""583324.001"", ""6133303.793""], [""583324.726"", ""6133295.917""], [""583325.411"", ""6133295.981""]]","[""G72R33B_8135"", ""0.0041629021257093566"", ""11.3"", ""0.03"", ""0.03"", ""25"", ""OUTLET""]","[""G72R33B_8135"", ""10000"", ""10000"", ""7"", ""7"", ""0""]",original,0
G72R340_8136,rg5425,G72R340,0.385,27.830000000000002,60.825,0.03,0.0,,"[[""582833.333"", ""6133649.669""], [""582810.182"", ""6133622.124""], [""582788.612"", ""6133600.696""], [""582761.085"", ""6133577.148""], [""582729.182"", ""6133572.507""], [""582705.431"", ""6133560.041""], [""582702.113"", ""6133575.972""], [""582767.350"", ""6133614.268""], [""582816.001"", ""6133674.316""], [""582833.333"", ""6133649.669""]]","[""G72R340_8136"", ""0.002648236887864451"", ""11.3"", ""0.03"", ""0.03"", ""25"", ""OUTLET""]","[""G72R340_8136"", ""10000"", ""10000"", ""7"", ""7"", ""0""]",original,0
G72R360_8137,rg5425,G72R360,0.4920000000000001,30.0,135.36,0.03,0.0,,"[[""582816.001"", ""6133674.316""], [""582767.350"", ""6133614.268""], [""582702.113"", ""6133575.972""], [""582698.537"", ""6133604.898""], [""582798.497"", ""6133699.208""], [""582816.001"", ""6133674.316""]]","[""G72R360_8137"", ""0.00589338832949169"", ""11.3"", ""0.03"", ""0.03"", ""25"", ""OUTLET""]","[""G72R360_8137"", ""10000"", ""10000"", ""7"", ""7"", ""0""]",original,0
G72R370_8138,rg5425,G72R370,0.695,43.22,78.836,0.03,0.0,,"[[""582798.497"", ""6133699.208""], [""582698.537"", ""6133604.898""], [""582689.869"", ""6133638.723""], [""582700.241"", ""6133669.929""], [""582757.446"", ""6133757.587""], [""582798.497"", ""6133699.208""]]","[""G72R370_8138"", ""0.0034324110693248143"", ""11.3"", ""0.03"", ""0.03"", ""25"", ""OUTLET""]","[""G72R370_8138"", ""10000"", ""10000"", ""7"", ""7"", ""0""]",original,0
G72R380_8139,rg5425,G72R380,0.462,44.01,37.963,0.03,0.0,,"[[""582757.019"", ""6133767.146""], [""582760.399"", ""6133762.112""], [""582757.446"", ""6133757.587""], [""582700.241"", ""6133669.929""], [""582689.869"", ""6133638.723""], [""582662.202"", ""6133672.169""], [""582741.848"", ""6133789.743""], [""582757.019"", ""6133767.146""]]","[""G72R380_8139"", ""0.0016528568347554155"", ""11.3"", ""0.03"", ""0.03"", ""25"", ""OUTLET""]","[""G72R380_8139"", ""10000"", ""10000"", ""7"", ""7"", ""0""]",original,0
G72R390_8140,rg5425,G72R390,0.583,41.88000000000001,43.542,0.03,0.0,,"[[""582717.159"", ""6133823.820""], [""582741.848"", ""6133789.743""], [""582662.202"", ""6133672.169""], [""582634.617"", ""6133701.612""], [""582636.754"", ""6133704.853""], [""582714.784"", ""6133823.157""], [""582716.144"", ""6133825.220""], [""582717.159"", ""6133823.820""]]","[""G72R390_8140"", ""0.0018957588256702657"", ""11.3"", ""0.03"", ""0.03"", ""25"", ""OUTLET""]","[""G72R390_8140"", ""10000"", ""10000"", ""7"", ""7"", ""0""]",original,0
G72R641_8141,rg5425,G72R641,0.049,58.400000000000006,34.329,0.03,0.0,,"[[""583208.834"", ""6133250.272""], [""583208.491"", ""6133240.137""], [""583206.003"", ""6133209.963""], [""583205.324"", ""6133201.725""], [""583200.537"", ""6133200.946""], [""583195.484"", ""6133203.844""], [""583193.156"", ""6133207.607""], [""583194.179"", ""6133208.316""], [""583195.965"", ""6133209.554""], [""583198.528"", ""6133240.958""], [""583198.880"", ""6133246.384""], [""583198.866"", ""6133249.873""], [""583208.831"", ""6133250.335""], [""583208.834"", ""6133250.272""]]","[""G72R641_8141"", ""0.0014946374701767155"", ""11.3"", ""0.03"", ""0.03"", ""25"", ""OUTLET""]","[""G72R641_8141"", ""10000"", ""10000"", ""7"", ""7"", ""0""]",original,0
