forecast_time,target_time,rain_gage_id,forecast_horizon_min,forecast_rainfall_mm,source
2017-06-29,2017-06-29 01:08:00,rg5425,68,0.0,historical_window_minutely
2017-06-29,2017-06-29 01:09:00,rg5425,69,0.0,historical_window_minutely
2017-06-29,2017-06-29 01:10:00,rg5425,70,0.0,historical_window_minutely
2017-06-29,2017-06-29 01:11:00,rg5425,71,0.0,historical_window_minutely
2017-06-29,2017-06-29 01:12:00,rg5425,72,0.0,historical_window_minutely
2017-06-29,2017-06-29 01:13:00,rg5425,73,0.0,historical_window_minutely
2017-06-29,2017-06-29 01:14:00,rg5425,74,0.0,historical_window_minutely
2017-06-29,2017-06-29 01:15:00,rg5425,75,0.0,historical_window_minutely
2017-06-29,2017-06-29 01:16:00,rg5425,76,0.0,historical_window_minutely
2017-06-29,2017-06-29 01:17:00,rg5425,77,0.0,historical_window_minutely
2017-06-29,2017-06-29 01:18:00,rg5425,78,0.0,historical_window_minutely
2017-06-29,2017-06-29 01:19:00,rg5425,79,0.0,historical_window_minutely
2017-06-29,2017-06-29 01:20:00,rg5425,80,0.0,historical_window_minutely
2017-06-29,2017-06-29 01:21:00,rg5425,81,0.0,historical_window_minutely
2017-06-29,2017-06-29 01:22:00,rg5425,82,0.0,historical_window_minutely
2017-06-29,2017-06-29 01:23:00,rg5425,83,0.0,historical_window_minutely
2017-06-29,2017-06-29 01:24:00,rg5425,84,0.0,historical_window_minutely
2017-06-29,2017-06-29 01:25:00,rg5425,85,0.0,historical_window_minutely
2017-06-29,2017-06-29 01:26:00,rg5425,86,0.0,historical_window_minutely
2017-06-29,2017-06-29 01:27:00,rg5425,87,0.0,historical_window_minutely
2017-06-29,2017-06-29 01:28:00,rg5425,88,0.0,historical_window_minutely
2017-06-29,2017-06-29 01:29:00,rg5425,89,0.0,historical_window_minutely
2017-06-29,2017-06-29 01:30:00,rg5425,90,0.0,historical_window_minutely
2017-06-29,2017-06-29 01:31:00,rg5425,91,0.0,historical_window_minutely
2017-06-29,2017-06-29 01:32:00,rg5425,92,0.0,historical_window_minutely
2017-06-29,2017-06-29 01:33:00,rg5425,93,0.0,historical_window_minutely
2017-06-29,2017-06-29 01:34:00,rg5425,94,0.0,historical_window_minutely
2017-06-29,2017-06-29 01:35:00,rg5425,95,0.0,historical_window_minutely
2017-06-29,2017-06-29 01:36:00,rg5425,96,0.0,historical_window_minutely
2017-06-29,2017-06-29 01:37:00,rg5425,97,0.0,historical_window_minutely
2017-06-29,2017-06-29 01:38:00,rg5425,98,0.0,historical_window_minutely
2017-06-29,2017-06-29 01:39:00,rg5425,99,0.0,historical_window_minutely
2017-06-29,2017-06-29 01:40:00,rg5425,100,0.0,historical_window_minutely
2017-06-29,2017-06-29 01:41:00,rg5425,101,0.0,historical_window_minutely
2017-06-29,2017-06-29 01:42:00,rg5425,102,0.0,historical_window_minutely
2017-06-29,2017-06-29 01:43:00,rg5425,103,0.0,historical_window_minutely
2017-06-29,2017-06-29 01:44:00,rg5425,104,0.0,historical_window_minutely
2017-06-29,2017-06-29 01:45:00,rg5425,105,0.0,historical_window_minutely
2017-06-29,2017-06-29 01:46:00,rg5425,106,0.0,historical_window_minutely
2017-06-29,2017-06-29 01:47:00,rg5425,107,0.0,historical_window_minutely
2017-06-29,2017-06-29 01:48:00,rg5425,108,0.0,historical_window_minutely
2017-06-29,2017-06-29 01:49:00,rg5425,109,0.0,historical_window_minutely
2017-06-29,2017-06-29 01:50:00,rg5425,110,0.0,historical_window_minutely
2017-06-29,2017-06-29 01:51:00,rg5425,111,0.0,historical_window_minutely
2017-06-29,2017-06-29 01:52:00,rg5425,112,0.0,historical_window_minutely
2017-06-29,2017-06-29 01:53:00,rg5425,113,0.0,historical_window_minutely
2017-06-29,2017-06-29 01:54:00,rg5425,114,0.0,historical_window_minutely
2017-06-29,2017-06-29 01:55:00,rg5425,115,0.0,historical_window_minutely
2017-06-29,2017-06-29 01:56:00,rg5425,116,0.0,historical_window_minutely
2017-06-29,2017-06-29 01:57:00,rg5425,117,0.0,historical_window_minutely
2017-06-29,2017-06-29 01:58:00,rg5425,118,0.0,historical_window_minutely
2017-06-29,2017-06-29 01:59:00,rg5425,119,0.0,historical_window_minutely
2017-06-29,2017-06-29 02:00:00,rg5425,120,0.0,historical_window_minutely
2017-06-29,2017-06-29 02:01:00,rg5425,121,0.0,historical_window_minutely
2017-06-29,2017-06-29 02:02:00,rg5425,122,0.0,historical_window_minutely
2017-06-29,2017-06-29 02:03:00,rg5425,123,0.0,historical_window_minutely
2017-06-29,2017-06-29 02:04:00,rg5425,124,0.0,historical_window_minutely
2017-06-29,2017-06-29 02:05:00,rg5425,125,0.0,historical_window_minutely
2017-06-29,2017-06-29 02:06:00,rg5425,126,0.0,historical_window_minutely
2017-06-29,2017-06-29 02:07:00,rg5425,127,0.0,historical_window_minutely
2017-06-29,2017-06-29 02:08:00,rg5425,128,0.0,historical_window_minutely
2017-06-29,2017-06-29 02:09:00,rg5425,129,0.0,historical_window_minutely
2017-06-29,2017-06-29 02:10:00,rg5425,130,0.0,historical_window_minutely
2017-06-29,2017-06-29 02:11:00,rg5425,131,0.0,historical_window_minutely
2017-06-29,2017-06-29 02:12:00,rg5425,132,0.0,historical_window_minutely
