timestamp,pump_id,pump_station_id,flow_cms,setting,status,inlet_node,outlet_node
2017-06-29 05:30:00,G71F12Pp2,G71F12,0.0,0.0,OFF,G71F12P,G71F060
2017-06-29 05:30:00,G71F68Yp1,G71F68Y,0.0,0.0,OFF,G71F68Y,G71F060
2017-06-29 05:30:00,G80F13Pp1,G80F13,0.0,0.0,OFF,G80F13P,G80F240
2017-06-29 05:30:00,G70F11Pp2,G70F11,0.0,0.0,OFF,G70F11P,G70F100
2017-06-29 05:30:00,G71F320Pp1,G71F320,0.0,1.0,ON,G71F320,G_ADD
2017-06-29 05:45:00,G70F11Pp1,G70F11,0.0,0.0,OFF,G70F11P,G70F100
2017-06-29 05:45:00,G71F12Pp1,G71F12,0.0,0.0,OFF,G71F12P,G71F060
2017-06-29 05:45:00,G71F12Pp2,G71F12,0.0,0.0,OFF,G71F12P,G71F060
2017-06-29 05:45:00,G71F68Yp1,G71F68Y,0.0,0.0,OFF,G71F68Y,G71F060
2017-06-29 05:45:00,G80F13Pp1,G80F13,0.0,0.0,OFF,G80F13P,G80F240
2017-06-29 05:45:00,G70F11Pp2,G70F11,0.0,0.0,OFF,G70F11P,G70F100
2017-06-29 05:45:00,G71F320Pp1,G71F320,0.0,1.0,ON,G71F320,G_ADD
2017-06-29 06:00:00,G70F11Pp1,G70F11,0.0,0.0,OFF,G70F11P,G70F100
2017-06-29 06:00:00,G71F12Pp1,G71F12,0.0,0.0,OFF,G71F12P,G71F060
2017-06-29 06:00:00,G71F12Pp2,G71F12,0.0,0.0,OFF,G71F12P,G71F060
2017-06-29 06:00:00,G71F68Yp1,G71F68Y,0.0,0.0,OFF,G71F68Y,G71F060
2017-06-29 06:00:00,G80F13Pp1,G80F13,0.0,0.0,OFF,G80F13P,G80F240
2017-06-29 06:00:00,G70F11Pp2,G70F11,0.0,0.0,OFF,G70F11P,G70F100
2017-06-29 06:00:00,G71F320Pp1,G71F320,0.0,1.0,ON,G71F320,G_ADD
2017-06-29 06:15:00,G70F11Pp1,G70F11,0.0,0.0,OFF,G70F11P,G70F100
2017-06-29 06:15:00,G71F12Pp1,G71F12,0.0,0.0,OFF,G71F12P,G71F060
2017-06-29 06:15:00,G71F12Pp2,G71F12,0.0,0.0,OFF,G71F12P,G71F060
2017-06-29 06:15:00,G71F68Yp1,G71F68Y,0.0,0.0,OFF,G71F68Y,G71F060
2017-06-29 06:15:00,G80F13Pp1,G80F13,0.0,0.0,OFF,G80F13P,G80F240
2017-06-29 06:15:00,G70F11Pp2,G70F11,0.0,0.0,OFF,G70F11P,G70F100
2017-06-29 06:15:00,G71F320Pp1,G71F320,0.0,1.0,ON,G71F320,G_ADD
2017-06-29 06:30:00,G70F11Pp1,G70F11,0.0003951546431435453,1.0,ON,G70F11P,G70F100
2017-06-29 06:30:00,G71F12Pp1,G71F12,0.0,0.0,OFF,G71F12P,G71F060
2017-06-29 06:30:00,G71F12Pp2,G71F12,0.0,0.0,OFF,G71F12P,G71F060
2017-06-29 06:30:00,G71F68Yp1,G71F68Y,0.0,0.0,OFF,G71F68Y,G71F060
2017-06-29 06:30:00,G80F13Pp1,G80F13,0.0,0.0,OFF,G80F13P,G80F240
2017-06-29 06:30:00,G70F11Pp2,G70F11,0.0,0.0,OFF,G70F11P,G70F100
2017-06-29 06:30:00,G71F320Pp1,G71F320,0.0,1.0,ON,G71F320,G_ADD
2017-06-29 06:45:00,G70F11Pp1,G70F11,0.0004375607588337282,1.0,ON,G70F11P,G70F100
2017-06-29 06:45:00,G71F12Pp1,G71F12,0.0,0.0,OFF,G71F12P,G71F060
2017-06-29 06:45:00,G71F12Pp2,G71F12,0.0,0.0,OFF,G71F12P,G71F060
2017-06-29 06:45:00,G71F68Yp1,G71F68Y,0.0,0.0,OFF,G71F68Y,G71F060
2017-06-29 06:45:00,G80F13Pp1,G80F13,0.0,0.0,OFF,G80F13P,G80F240
2017-06-29 06:45:00,G70F11Pp2,G70F11,0.0,0.0,OFF,G70F11P,G70F100
2017-06-29 06:45:00,G71F320Pp1,G71F320,0.0,1.0,ON,G71F320,G_ADD
2017-06-29 07:00:00,G70F11Pp1,G70F11,0.0004454618907828772,1.0,ON,G70F11P,G70F100
2017-06-29 07:00:00,G71F12Pp1,G71F12,0.0,0.0,OFF,G71F12P,G71F060
2017-06-29 07:00:00,G71F12Pp2,G71F12,0.0,0.0,OFF,G71F12P,G71F060
2017-06-29 07:00:00,G71F68Yp1,G71F68Y,0.0,0.0,OFF,G71F68Y,G71F060
2017-06-29 07:00:00,G80F13Pp1,G80F13,0.0,0.0,OFF,G80F13P,G80F240
2017-06-29 07:00:00,G70F11Pp2,G70F11,0.0,0.0,OFF,G70F11P,G70F100
2017-06-29 07:00:00,G71F320Pp1,G71F320,0.0,1.0,ON,G71F320,G_ADD
2017-06-29 07:15:00,G70F11Pp1,G70F11,0.00046863709366578324,1.0,ON,G70F11P,G70F100
2017-06-29 07:15:00,G71F12Pp1,G71F12,0.0,0.0,OFF,G71F12P,G71F060
2017-06-29 07:15:00,G71F12Pp2,G71F12,0.0,0.0,OFF,G71F12P,G71F060
2017-06-29 07:15:00,G71F68Yp1,G71F68Y,0.0,0.0,OFF,G71F68Y,G71F060
2017-06-29 07:15:00,G80F13Pp1,G80F13,0.0,0.0,OFF,G80F13P,G80F240
2017-06-29 07:15:00,G70F11Pp2,G70F11,0.0,0.0,OFF,G70F11P,G70F100
2017-06-29 07:15:00,G71F320Pp1,G71F320,0.0,1.0,ON,G71F320,G_ADD
2017-06-29 07:30:00,G70F11Pp1,G70F11,0.0004941861857061507,1.0,ON,G70F11P,G70F100
2017-06-29 07:30:00,G71F12Pp1,G71F12,0.0,0.0,OFF,G71F12P,G71F060
2017-06-29 07:30:00,G71F12Pp2,G71F12,0.0,0.0,OFF,G71F12P,G71F060
2017-06-29 07:30:00,G71F68Yp1,G71F68Y,0.0,0.0,OFF,G71F68Y,G71F060
2017-06-29 07:30:00,G80F13Pp1,G80F13,0.0,0.0,OFF,G80F13P,G80F240
2017-06-29 07:30:00,G70F11Pp2,G70F11,0.0,0.0,OFF,G70F11P,G70F100
2017-06-29 07:30:00,G71F320Pp1,G71F320,0.0,1.0,ON,G71F320,G_ADD
2017-06-29 07:45:00,G70F11Pp1,G70F11,0.0005025259582740917,1.0,ON,G70F11P,G70F100
2017-06-29 07:45:00,G71F12Pp1,G71F12,0.0,0.0,OFF,G71F12P,G71F060
2017-06-29 07:45:00,G71F12Pp2,G71F12,0.0,0.0,OFF,G71F12P,G71F060
2017-06-29 07:45:00,G71F68Yp1,G71F68Y,0.0,0.0,OFF,G71F68Y,G71F060
2017-06-29 07:45:00,G80F13Pp1,G80F13,0.0,0.0,OFF,G80F13P,G80F240
2017-06-29 07:45:00,G70F11Pp2,G70F11,0.0,0.0,OFF,G70F11P,G70F100
2017-06-29 07:45:00,G71F320Pp1,G71F320,0.0,1.0,ON,G71F320,G_ADD
2017-06-29 08:00:00,G70F11Pp1,G70F11,0.0005037245955651517,1.0,ON,G70F11P,G70F100
2017-06-29 08:00:00,G71F12Pp1,G71F12,0.0,0.0,OFF,G71F12P,G71F060
2017-06-29 08:00:00,G71F12Pp2,G71F12,0.0,0.0,OFF,G71F12P,G71F060
2017-06-29 08:00:00,G71F68Yp1,G71F68Y,0.0,0.0,OFF,G71F68Y,G71F060
2017-06-29 08:00:00,G80F13Pp1,G80F13,0.026000000000000002,1.0,ON,G80F13P,G80F240
2017-06-29 08:00:00,G70F11Pp2,G70F11,0.0,0.0,OFF,G70F11P,G70F100
